Player Name,Total Kills,Total Deaths,Average K/D Ratio,Total +/-,Total Maps Played
⁠⁠Cellium,4328,3304,1.2886666666666668,1024,228
⁠⁠Pred,4592,4104,1.116,488,236
⁠⁠Dashy,3104,2972,1.0476666666666665,132,188
⁠⁠Sib,4828,4604,1.0406666666666669,224,264
⁠⁠Octane,2112,1828,1.178,284,116
⁠⁠aBeZy,4516,4200,1.071,316,228
⁠⁠Kenny,3236,3196,0.9899999999999999,40,192
⁠⁠HyDra,4640,4056,1.137333333333333,584,240
⁠⁠Drazah,2832,2764,1.0206666666666666,68,164
⁠⁠Envoy,3616,3340,1.09,276,196
⁠⁠Methodz,656,596,1.101,60,36
⁠⁠CleanX,3628,3776,0.9633333333333333,-148,200
⁠⁠Gismo,676,644,1.05,32,40
⁠⁠Cammy,1588,1608,0.9735000000000003,-20,88
⁠⁠PaulEhx,908,896,1.013,12,52
⁠⁠Bance,1544,1696,0.877,-152,88
⁠⁠Arcitys,1684,1704,0.988,-20,100
⁠⁠Scump,1160,1192,0.973,-32,60
⁠⁠Zer0,592,624,0.949,-32,40
⁠⁠Insight,3072,3068,1.0,4,200
⁠⁠iLLeY,1052,1124,0.936,-72,60
⁠⁠KiSMET,3996,4380,0.9253333333333335,-384,240
⁠⁠Nastie,1800,1920,0.9275,-120,108
⁠⁠Afro,560,652,0.859,-92,40
⁠⁠Vivid,724,816,0.887,-92,36
⁠⁠TJHaLy,684,780,0.877,-96,36
⁠⁠Crimsix,744,860,0.865,-116,52
⁠⁠Nero,720,852,0.845,-132,36
⁠⁠Accuracy,2392,2812,0.8435000000000001,-420,160
⁠⁠Shotzzy,3412,3420,0.9929999999999999,-8,188
⁠⁠Simp,4100,4312,0.9776666666666668,-212,228
⁠⁠Mack,2736,3128,0.8779999999999999,-392,160
⁠⁠SlasheR,1348,1196,1.127,152,80
⁠⁠Skyz,2792,2840,1.0035,-48,188
⁠⁠Owakening,776,708,1.096,68,48
⁠⁠Ghosty,2192,2020,1.0840000000000003,172,120
⁠⁠Scrappy,2764,2612,1.0544999999999998,152,148
⁠⁠Attach,508,484,1.05,24,36
⁠⁠Beans,800,796,1.005,4,48
⁠⁠Snoopy,808,844,0.957,-36,48
⁠⁠Priestahh,1156,1224,0.944,-68,84
⁠⁠Fame,892,1016,0.8815,-124,60
⁠⁠Huke,1536,1656,0.9350000000000002,-120,92
⁠⁠Kremp,1908,2132,0.8890000000000001,-224,116
⁠⁠Hicksy,896,1136,0.789,-240,68
⁠⁠Abuzah,844,716,1.179,128,40
⁠⁠MettalZ,856,888,0.964,-32,48
⁠⁠Vikul,940,972,0.967,-32,48
⁠⁠Lucky,892,940,0.949,-48,48
⁠⁠Flames,352,400,0.88,-48,24
⁠⁠Breszy,652,720,0.906,-68,40
⁠⁠Estreal,360,448,0.804,-88,24
⁠⁠Diamondcon,376,480,0.783,-104,24
⁠⁠JoeDeceives,1208,1324,0.912,-116,68
⁠⁠04,688,812,0.847,-124,40
⁠⁠ReeaL,816,948,0.861,-132,48
